               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.016346,            0.004162,                   0,             0.77245,                   1,             0.96389,             0.85023,            0.020965,           0.0031759,                   0,              0.0973,              0.0003,              0.0003
                   1,            0.020513,           0.0054118,                   0,             0.87094,             0.96754,              0.9775,             0.84351,            0.017015,           0.0028898,                   0,              0.0937,          0.00069983,          0.00069983
                   2,            0.017595,           0.0045195,                   0,             0.77237,                   1,             0.96389,             0.78557,            0.017988,           0.0028688,                   0,            0.090099,           0.0010995,           0.0010995
                   3,            0.019476,           0.0051682,                   0,             0.77256,                   1,             0.96389,             0.78558,            0.019271,           0.0028894,                   0,            0.086499,           0.0014989,           0.0014989
                   4,            0.017689,           0.0052724,                   0,             0.77255,                   1,             0.94389,             0.77085,            0.017339,           0.0028124,                   0,            0.082898,           0.0018982,           0.0018982
                   5,            0.015769,           0.0045342,                   0,             0.77243,                   1,             0.92389,             0.66207,            0.020768,           0.0028898,                   0,            0.079297,           0.0022973,           0.0022973
                   6,            0.017649,           0.0047078,                   0,             0.77271,                   1,             0.94389,             0.80157,            0.018084,           0.0027488,                   0,            0.075696,           0.0026962,           0.0026962
                   7,            0.018726,           0.0045799,                   0,              0.6957,                   1,               0.823,             0.50728,            0.024442,           0.0029607,                   0,            0.072095,           0.0030949,           0.0030949
                   8,            0.019794,           0.0055994,                   0,             0.77246,                   1,             0.92389,             0.72809,            0.021424,           0.0027472,                   0,            0.068493,           0.0034934,           0.0034934
                   9,            0.017284,           0.0046373,                   0,             0.68955,                   1,               0.853,             0.63973,            0.024279,           0.0030518,                   0,            0.064892,           0.0038917,           0.0038917
                  10,            0.024047,           0.0057083,                   0,              0.7725,                   1,             0.90246,             0.70572,            0.018432,           0.0026134,                   0,             0.06129,           0.0042899,           0.0042899
                  11,            0.017573,           0.0039645,                   0,             0.69905,                   1,             0.90167,             0.61225,             0.02468,           0.0028048,                   0,            0.057688,           0.0046878,           0.0046878
                  12,            0.021663,            0.005327,                   0,             0.66898,                   1,             0.83933,             0.56967,             0.02347,           0.0027065,                   0,            0.054086,           0.0050856,           0.0050856
                  13,            0.020736,           0.0075949,                   0,             0.62747,                   1,             0.88576,             0.67734,            0.027329,            0.002943,                   0,            0.050483,           0.0054831,           0.0054831
                  14,            0.026915,           0.0056653,                   0,             0.77024,                   1,             0.88444,              0.6087,            0.020675,           0.0029091,                   0,            0.046881,           0.0058805,           0.0058805
                  15,            0.020581,           0.0051675,                   0,             0.66374,                   1,             0.78814,             0.54375,            0.025919,           0.0029446,                   0,            0.043278,           0.0062777,           0.0062777
                  16,            0.022139,           0.0051681,                   0,             0.77141,                   1,             0.84367,             0.53955,            0.024793,           0.0029841,                   0,            0.039675,           0.0066747,           0.0066747
                  17,            0.023912,           0.0056104,                   0,             0.86987,             0.95899,              0.9775,             0.77276,            0.020654,           0.0025852,                   0,            0.036072,           0.0070715,           0.0070715
                  18,            0.023414,           0.0055295,                   0,             0.75675,             0.85714,             0.82195,              0.4411,            0.032394,           0.0030135,                   0,            0.032468,           0.0074682,           0.0074682
                  19,            0.027264,           0.0078481,                   0,             0.77182,                   1,             0.90246,               0.638,            0.024305,           0.0028801,                   0,            0.028865,           0.0078646,           0.0078646
                  20,             0.02562,           0.0060396,                   0,             0.68567,                   1,             0.71775,             0.40738,            0.033734,           0.0031154,                   0,            0.025261,           0.0082609,           0.0082609
                  21,            0.026191,           0.0072015,                   0,             0.87297,             0.98375,              0.9775,             0.62183,            0.030605,            0.002893,                   0,            0.021657,           0.0086569,           0.0086569
                  22,            0.026706,           0.0055313,                   0,             0.65827,             0.82837,             0.77957,             0.51944,            0.029123,            0.002941,                   0,            0.018053,           0.0090528,           0.0090528
                  23,            0.022557,           0.0046675,                   0,             0.87055,             0.96439,              0.9425,             0.61135,            0.026996,           0.0029305,                   0,            0.014448,           0.0094485,           0.0094485
                  24,            0.027708,            0.005697,                   0,             0.69499,                   1,             0.89467,             0.62655,            0.029804,           0.0032254,                   0,            0.010844,            0.009844,            0.009844
                  25,            0.029282,           0.0068415,                   0,               0.948,             0.85714,              0.9775,             0.79455,            0.027501,           0.0031368,                   0,           0.0099411,           0.0099411,           0.0099411
                  26,            0.030986,           0.0051303,                   0,             0.75761,                   1,             0.96389,             0.54872,            0.035189,           0.0035397,                   0,           0.0099411,           0.0099411,           0.0099411
                  27,            0.030344,           0.0064532,                   0,                   1,              0.9851,               0.995,             0.65929,            0.030119,            0.003223,                   0,           0.0099387,           0.0099387,           0.0099387
