               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12383,            0.015243,                   0,          0.00074074,             0.28571,           0.0014193,          0.00034831,             0.13139,            0.010647,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.12336,            0.016697,                   0,           0.0025891,             0.42857,           0.0085296,           0.0020612,             0.12143,            0.010768,                   0,              0.0937,          0.00069983,          0.00069983
                   2,             0.11274,            0.016066,                   0,           0.0014815,             0.57143,           0.0060765,           0.0015124,             0.10788,            0.010837,                   0,            0.090099,           0.0010995,           0.0010995
                   3,              0.1046,            0.018175,                   0,           0.0022222,             0.85714,           0.0080694,            0.003641,            0.093662,            0.010726,                   0,            0.086499,           0.0014989,           0.0014989
                   4,            0.098516,            0.017454,                   0,           0.0027187,             0.71429,            0.013673,           0.0026128,            0.084433,            0.010486,                   0,            0.082898,           0.0018982,           0.0018982
                   5,            0.092719,            0.017527,                   0,            0.019007,             0.42857,            0.049679,              0.0125,            0.077391,            0.010361,                   0,            0.079297,           0.0022973,           0.0022973
                   6,            0.081285,            0.018706,                   0,            0.038027,             0.71429,            0.084234,            0.028555,            0.067168,             0.01061,                   0,            0.075696,           0.0026962,           0.0026962
                   7,            0.076119,            0.018872,                   0,             0.09443,             0.67097,             0.16282,            0.074067,            0.061908,            0.010397,                   0,            0.072095,           0.0030949,           0.0030949
                   8,            0.068237,            0.018451,                   0,             0.30851,             0.28571,             0.32185,            0.058048,            0.064627,           0.0093407,                   0,            0.068493,           0.0034934,           0.0034934
                   9,            0.064001,            0.017758,                   0,             0.20529,             0.42857,             0.29419,            0.079338,            0.070228,            0.008638,                   0,            0.064892,           0.0038917,           0.0038917
                  10,            0.073574,            0.018172,                   0,              0.3292,             0.42857,             0.40709,            0.091576,            0.055847,           0.0088845,                   0,             0.06129,           0.0042899,           0.0042899
                  11,            0.059506,            0.014571,                   0,             0.86148,             0.28571,             0.42986,             0.15696,            0.068991,           0.0082286,                   0,            0.057688,           0.0046878,           0.0046878
                  12,            0.063375,            0.017679,                   0,             0.22372,             0.57143,             0.38481,             0.10528,            0.061998,           0.0081818,                   0,            0.054086,           0.0050856,           0.0050856
                  13,            0.061297,            0.022141,                   0,             0.56691,             0.28571,             0.47008,            0.091195,            0.055853,           0.0083994,                   0,            0.050483,           0.0054831,           0.0054831
                  14,            0.060992,            0.016045,                   0,             0.64631,             0.28571,             0.48523,            0.093346,            0.067887,           0.0075992,                   0,            0.046881,           0.0058805,           0.0058805
                  15,            0.055271,             0.01715,                   0,             0.48666,             0.81522,              0.6414,             0.25314,            0.055538,           0.0080126,                   0,            0.043278,           0.0062777,           0.0062777
                  16,             0.05214,            0.015692,                   0,             0.48829,             0.68417,              0.4514,             0.16679,            0.068966,           0.0066467,                   0,            0.039675,           0.0066747,           0.0066747
                  17,            0.062058,             0.01494,                   0,             0.19934,             0.56918,             0.15981,            0.057258,            0.064477,           0.0066854,                   0,            0.036072,           0.0070715,           0.0070715
                  18,            0.051231,            0.016563,                   0,             0.34356,             0.57143,             0.39884,             0.20241,            0.056063,           0.0068151,                   0,            0.032468,           0.0074682,           0.0074682
                  19,            0.051559,            0.021481,                   0,             0.54142,             0.57143,             0.63354,             0.27912,            0.058015,           0.0068103,                   0,            0.028865,           0.0078646,           0.0078646
                  20,            0.050816,            0.016973,                   0,             0.44698,             0.57143,             0.58335,             0.17059,              0.0595,            0.006442,                   0,            0.025261,           0.0082609,           0.0082609
                  21,            0.049826,            0.019775,                   0,             0.68944,             0.63976,             0.68127,             0.33996,            0.055277,           0.0065975,                   0,            0.021657,           0.0086569,           0.0086569
                  22,            0.050543,             0.01447,                   0,             0.63145,             0.85714,             0.80714,              0.3216,            0.056295,           0.0065637,                   0,            0.018053,           0.0090528,           0.0090528
                  23,            0.047327,            0.012122,                   0,             0.73645,             0.85714,             0.83482,             0.40007,            0.059599,           0.0067112,                   0,            0.014448,           0.0094485,           0.0094485
                  24,            0.051771,             0.01409,                   0,             0.82987,             0.69946,             0.83233,             0.27359,            0.047646,           0.0076169,                   0,            0.010844,            0.009844,            0.009844
                  25,            0.042811,            0.015148,                   0,              0.3407,                   1,             0.47974,             0.25825,            0.049152,           0.0079232,                   0,           0.0099411,           0.0099411,           0.0099411
                  26,            0.048644,            0.012665,                   0,             0.70456,             0.57143,              0.6465,             0.29496,            0.056459,           0.0068957,                   0,           0.0099411,           0.0099411,           0.0099411
                  27,            0.050319,            0.013227,                   0,             0.50438,             0.58269,             0.65528,             0.37821,            0.058822,           0.0066725,                   0,           0.0099387,           0.0099387,           0.0099387
                  28,             0.04433,            0.012726,                   0,             0.85489,             0.84365,             0.89265,             0.40539,            0.049593,           0.0071463,                   0,           0.0099364,           0.0099364,           0.0099364
                  29,            0.039615,            0.012209,                   0,             0.66269,                   1,               0.869,             0.21701,            0.056015,           0.0068997,                   0,            0.009934,            0.009934,            0.009934
                  30,            0.042609,            0.010378,                   0,              0.8426,             0.76987,             0.86266,             0.51413,            0.045153,           0.0062808,                   0,           0.0099316,           0.0099316,           0.0099316
                  31,            0.042556,            0.010903,                   0,             0.62207,             0.70648,             0.59621,             0.15934,            0.052526,           0.0071898,                   0,           0.0099293,           0.0099293,           0.0099293
                  32,            0.040632,            0.012558,                   0,             0.78367,             0.85714,             0.86246,             0.43772,            0.042242,           0.0089659,                   0,           0.0099269,           0.0099269,           0.0099269
                  33,            0.042511,             0.01276,                   0,             0.92463,             0.85714,             0.94409,             0.41096,            0.043762,           0.0082487,                   0,           0.0099246,           0.0099246,           0.0099246
                  34,            0.035996,            0.011826,                   0,             0.58162,                   1,             0.75727,             0.33674,             0.04284,           0.0076508,                   0,           0.0099222,           0.0099222,           0.0099222
                  35,            0.037391,            0.010132,                   0,             0.72248,                   1,             0.90625,             0.42886,            0.043518,           0.0077668,                   0,           0.0099199,           0.0099199,           0.0099199
                  36,            0.039267,            0.010112,                   0,             0.60923,                   1,             0.69451,             0.41886,            0.041198,           0.0070915,                   0,           0.0099175,           0.0099175,           0.0099175
                  37,            0.035486,            0.010679,                   0,             0.88139,             0.85714,              0.9775,             0.42033,            0.044517,            0.006467,                   0,           0.0099151,           0.0099151,           0.0099151
                  38,            0.037589,           0.0088423,                   0,             0.60307,             0.85714,             0.73706,             0.33989,            0.039788,           0.0054782,                   0,           0.0099128,           0.0099128,           0.0099128
                  39,            0.035079,           0.0088491,                   0,              0.5586,                   1,             0.75781,             0.36971,            0.049712,           0.0060681,                   0,           0.0099104,           0.0099104,           0.0099104
                  40,            0.034763,            0.009776,                   0,              0.6912,                   1,               0.913,             0.40511,            0.035232,            0.004823,                   0,           0.0099081,           0.0099081,           0.0099081
                  41,              0.0362,           0.0088045,                   0,             0.74168,                   1,             0.81567,              0.4149,            0.041944,           0.0039209,                   0,           0.0099057,           0.0099057,           0.0099057
                  42,            0.036507,           0.0099379,                   0,             0.94434,                   1,               0.995,             0.65334,            0.030642,           0.0045386,                   0,           0.0099034,           0.0099034,           0.0099034
                  43,            0.033562,           0.0096435,                   0,             0.59061,             0.85714,             0.81242,             0.54885,            0.044594,           0.0052219,                   0,            0.009901,            0.009901,            0.009901
                  44,            0.031396,            0.011187,                   0,             0.85499,                   1,             0.92375,             0.51479,            0.033136,           0.0049133,                   0,           0.0098986,           0.0098986,           0.0098986
                  45,            0.029333,           0.0089965,                   0,             0.93988,             0.85714,             0.87833,             0.40267,            0.046532,           0.0045668,                   0,           0.0098963,           0.0098963,           0.0098963
                  46,            0.030975,            0.010905,                   0,             0.94443,             0.85714,              0.9775,             0.65743,             0.03219,           0.0047505,                   0,           0.0098939,           0.0098939,           0.0098939
