               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12353,            0.015852,                   0,          0.00066667,             0.14286,           0.0013745,           0.0002749,             0.12155,            0.012759,                   0,              0.0919,              0.0009,              0.0009
                   1,             0.10768,            0.016018,                   0,           0.0016667,             0.57143,            0.017394,           0.0036535,             0.10019,            0.012759,                   0,            0.082887,           0.0018875,           0.0018875
                   2,            0.098815,            0.018373,                   0,           0.0022222,             0.85714,            0.043127,           0.0062367,             0.08517,            0.012386,                   0,            0.073862,           0.0028617,           0.0028617
                   3,            0.090583,            0.018082,                   0,           0.0022222,             0.85714,            0.011545,           0.0024523,            0.072265,            0.011833,                   0,            0.064823,           0.0038228,           0.0038228
                   4,             0.08245,            0.019567,                   0,            0.050088,             0.42857,            0.074048,            0.018527,            0.068378,            0.010921,                   0,            0.055771,           0.0047706,           0.0047706
                   5,            0.074731,            0.017339,                   0,            0.039637,             0.57143,            0.042941,            0.015454,             0.07278,            0.010426,                   0,            0.046705,           0.0057053,           0.0057053
                   6,            0.074218,            0.016345,                   0,             0.12582,             0.71429,             0.29135,            0.066111,             0.06035,            0.010695,                   0,            0.037627,           0.0066268,           0.0066268
                   7,            0.070672,            0.017923,                   0,             0.36464,             0.42857,             0.32567,            0.091474,            0.061442,           0.0096131,                   0,            0.028535,            0.007535,            0.007535
                   8,             0.06552,            0.017498,                   0,             0.12735,             0.42857,             0.17676,            0.039323,            0.070004,           0.0090743,                   0,             0.01943,           0.0084301,           0.0084301
                   9,            0.062362,            0.018874,                   0,             0.44859,             0.42857,             0.52606,             0.19338,            0.054469,           0.0085817,                   0,            0.010312,           0.0093119,           0.0093119
                  10,            0.063842,            0.018539,                   0,             0.25055,             0.71429,              0.3773,             0.15894,            0.052841,            0.008533,                   0,             0.00934,             0.00934,             0.00934
                  11,            0.056393,            0.017938,                   0,             0.58503,             0.71429,             0.64983,             0.29503,              0.0528,             0.00791,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.055881,             0.01762,                   0,             0.67316,             0.71429,             0.82467,             0.30084,            0.054856,            0.007535,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.054924,            0.017102,                   0,             0.56808,             0.85714,             0.59213,             0.23325,            0.042337,           0.0078827,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.053651,            0.014076,                   0,             0.63357,             0.85714,             0.64538,             0.23029,             0.04283,           0.0075322,                   0,            0.009142,            0.009142,            0.009142
